cod_marca;cod_modelo;nome_modelo;ultimo_ano
6;88;A4 2.8 Avant V6 12V;1997
6;89;A4 2.8 Avant V6 30V Mec.;2001
6;90;A4 2.8 Avant V6 30V Quattro Mec.;2001
6;91;A4 2.8 Avant V6 30V Quattro Tiptronic;2001
6;92;A4 2.8 Avant V6 30V Tiptronic;2001
6;93;A4 2.8 V6 30V  Quattro Tiptronic;2001
6;94;A4 2.8 V6 30V Quattro Mec.;2001
6;95;A4 3.0 30V 218cv Multitronic 4p;2006
6;96;A4 3.0 30V 218cv Quattro Tiptron./Aut 4p;2003
6;97;A4 3.0 Avant 30V 218cv Multitronic 5p;2006
6;98;A4 3.0 Avant 30V 218cv Quattro Tiptronic;2003
6;99;A4 3.0 Cabriolet 30V 218cv Multitronic;2004
6;4286;A4 3.2 FSI 24V 255cv Multitronic;2008
6;4731;A4 3.2 FSI 24V 269cv Quattro Tiptronic;2012
6;4287;A4 3.2 FSI Avant 24V 255cv Multitronic;2008
6;4935;A4 3.2 FSI Avant 24V Quattro S Tronic;2012
6;4288;A4 3.2 FSI Cabriolet 24V 255cv Multitron;2007
6;7537;A4 Launch Edition 2.0 TFSI 190cv S troni;2017
6;4798;A5 3.2 FSI 24V 269cv Multitronic;2009
6;5126;A5 3.2 FSI V6 24V 269cv Quattro Tiptroni;2011
6;6082;A5 Cabriolet 2.0 TFSI Quattro Stronic;2016
6;6083;A5 Coupê 2.0 TFSI Quattro Stronic;2016
6;6084;A5 Sportb. 2.0 16V TFSI Quat. S-tronic;2016
6;7022;A5 Sportback 1.8 TFSI 170cv Multi.;2017
6;6043;A5 Sportback 2.0 16V TFSI 180cv Multi.;2014
6;5234;A5 Sportback 2.0 16V TFSI 211cv Multi.;2011
6;100;A6 2.4 30V Mec;2001
6;101;A6 2.4 30V Tip./Multitronic;2003
6;102;A6 2.4 Avant 30V Mec.;2001
6;103;A6 2.4 Avant 30V Tip./ Multitronic;2003
6;104;A6 2.4 Avant V6 30V Quattro Mec.;2001
6;105;A6 2.4 Avant V6 30V Quattro Tiptronic;2001
6;106;A6 2.4 V6 30V Quattro Mec;2001
6;107;A6 2.4 V6 30V Quattro Tiptronic;2001
6;108;A6 2.7 30V Avant Tiptronic;2001
6;109;A6 2.7 30V Mec.;2000
6;110;A6 2.7 Avant Quattro Tiptronic;2002
6;111;A6 2.7 Quattro Tiptronic;2004
6;112;A6 2.8;1997
6;113;A6 2.8 30V Mec.;2001
6;114;A6 2.8 30V Tiptronic;2001
6;115;A6 2.8 Avant;1997
6;116;A6 2.8 Avant 30V Mec.;2001
6;117;A6 2.8 Avant 30V Tiptronic;2001
6;118;A6 2.8 Avant V6 30V Quattro Mec.;2001
6;119;A6 2.8 Avant V6 30V Quattro Tiptronic;2001
6;120;A6 2.8 V6 30V Quattro Mec.;2001
6;121;A6 2.8 V6 30V Quattro Tiptronic;2001
6;122;A6 3.0 Avant V6 30V 218cv Multitronic 5p;2007
6;5374;A6 3.0 Avant. TB FSI V6 Quattro Tip. 5p;2012
6;6413;A6 3.0 Avant.TFSI V6 Quattro S tronic 5p;2014
6;4958;A6 3.0 TB FSI V6 Quattro Tiptronic;2012
6;123;A6 3.0 V6 30V 218cv Multitronic 4p;2006
6;4526;A6 3.2 FSI 24V 255cv Multitronic;2008
6;124;A6 4.2 Avant Quattro Tiptronic;2006
6;125;A6 4.2 Quattro Tiptronic;2008
6;6462;A6 Allroad 3.0 TFSI V6 Quattro S tronic;2017
6;7447;A7 Sportback 2.0 TFSI S Tronic;2016
6;7127;A8 3.0 TFSI 310cv Quattro Tiptronic 4p;2016
6;6631;A8 4.0 TFSI Quattro Tiptronic;2017
6;126;A8 4.2 Quattro Tiptronic;2013
6;127;A8 4.2 V8 32V Tiptronic;2000
6;3928;A8 6.0 W12 48V 450cv Quattro Tiptronic;2006
6;5717;A8 6.3 W12 48V Quattro Tiptronic;2017
6;128;Allroad 2.7 30V Quattro Turbo Tiptronic;2005
6;129;Avant RS2;1995
6;6573;Q5 2.0 16V TFSI 225cv Quattro Tiptronic;2017
6;4936;Q5 2.0 16V TFSI Quattro S Tronic;2013
6;6486;Q5 3.0 V6 TFSI 272cv Quattro Tiptronic;2016
6;4959;Q5 3.2 FSI V6 Quattro S Tronic;2012
6;4694;Q7 3.6 V6 284cv Quattro Tiptronic;2010
6;4184;Q7 4.2 V8 40V 350cv Quattro Tiptronic;2010
6;5235;R8 4.2 V8 426cv Quattro R-tronic;2012
6;5974;R8 GT 5.2 V10 560cv Quattro R-tronic;2012
6;5550;R8 Spyder 5.2 Quattro R-tronic/S-tronic;2016
6;130;RS4 2.7 Avant V6 30V BI-TB Quattro 380cv;2001
6;6487;RS4 4.2 Avant 32V FSI Quattro S-tronic;2015
6;5410;RS5 4.2 FSI V8 450cv Quattro S-Tron. 2p;2015
